Timestamp,FC,Physical activity,Sleep time,Eating outside,money on food per day,BLD,afternoon nap
2023/04/18 5:32:45 AM GMT+5:30,Non-vegetarian,7,7,6,200,Breakfast,No
2023/04/18 6:09:33 AM GMT+5:30,Non-vegetarian,5,6,3,200,Breakfast,No
2023/04/18 6:21:40 AM GMT+5:30,Vegetarian + egg,6,8,10,15,Lunch,Yes
2023/04/18 6:52:02 AM GMT+5:30,Non-vegetarian,1,7,15,1000,Dinner,No
2023/04/18 8:06:21 AM GMT+5:30,Vegetarian + egg,8,6,15,100,Breakfast,Yes
2023/04/18 8:44:55 AM GMT+5:30,Non-vegetarian,5,5,12,40,Breakfast,No
2023/04/18 8:49:53 AM GMT+5:30,Non-vegetarian,0.05,6.5,3,70,Breakfast,No
2023/04/18 9:33:16 AM GMT+5:30,Vegetarian,483,69,73,52940262,Breakfast,Yes
2023/04/18 9:46:08 AM GMT+5:30,Vegetarian + egg,2,8,90,300,Lunch,No
2023/04/18 9:50:01 AM GMT+5:30,Non-vegetarian,16,7,5,50,Breakfast,Yes
2023/04/18 11:12:59 AM GMT+5:30,Non-vegetarian,6,6,1,10,Breakfast,No
2023/04/18 11:27:09 AM GMT+5:30,Non-vegetarian,4,8,1,50,Breakfast,No
2023/04/18 11:32:21 AM GMT+5:30,Vegetarian,14,9,4,50,Dinner,Yes
2023/04/18 11:32:37 AM GMT+5:30,Non-vegetarian,10.5,8,5,1000,Breakfast,Yes
2023/04/18 11:33:45 AM GMT+5:30,Vegetarian,9,6.5,2,80,Dinner,No
2023/04/18 11:48:23 AM GMT+5:30,Vegetarian,2,6,0,0,Breakfast,No
2023/04/18 11:50:26 AM GMT+5:30,Non-vegetarian,0,8,40,400,Breakfast,No
2023/04/18 11:50:27 AM GMT+5:30,Non-vegetarian,5,7,10,150,Dinner,No
2023/04/18 11:50:53 AM GMT+5:30,Non-vegetarian,7,7,13,5000,Lunch,Yes
2023/04/18 11:53:25 AM GMT+5:30,Non-vegetarian,8,7,3,30,Breakfast,Yes
2023/04/18 11:58:13 AM GMT+5:30,Non-vegetarian,14,6,5,1000,Breakfast,Yes
2023/04/18 12:21:06 PM GMT+5:30,Non-vegetarian,4,6,3,50,Breakfast,No
2023/04/18 12:29:04 PM GMT+5:30,Non-vegetarian,0,9,10,300,Lunch,Yes
2023/04/18 12:43:25 PM GMT+5:30,Non-vegetarian,0,7,5,50,Lunch,No
2023/04/18 12:58:30 PM GMT+5:30,Vegetarian,10,4,15,200,Lunch,Yes
2023/04/18 1:05:22 PM GMT+5:30,Vegetarian,2,6,30,80,Breakfast,No
2023/04/18 1:34:12 PM GMT+5:30,Non-vegetarian,8,8,8,100,Dinner,Yes
2023/04/18 1:37:29 PM GMT+5:30,Non-vegetarian,10,8,13,100,Breakfast,Yes
2023/04/18 2:14:44 PM GMT+5:30,Vegetarian + egg,5,7,8,100,Dinner,No
2023/04/18 2:29:04 PM GMT+5:30,Non-vegetarian,0,8,10,100,Dinner,No
2023/04/18 2:35:58 PM GMT+5:30,Vegetarian,0,7,2,60,Dinner,Yes
2023/04/18 2:40:25 PM GMT+5:30,Non-vegetarian,168,12,50,200,Breakfast,Yes
2023/04/18 5:04:04 PM GMT+5:30,Vegetarian,2,8,5,15,Breakfast,No
2023/04/18 5:41:00 PM GMT+5:30,Non-vegetarian,8,9,10,80,Breakfast,Yes
2023/04/18 6:56:11 PM GMT+5:30,Non-vegetarian,5,8,10,50,Dinner,Yes
2023/04/18 9:26:27 PM GMT+5:30,Non-vegetarian,13,6.5,2,40,Breakfast,No
2023/04/18 9:29:42 PM GMT+5:30,Non-vegetarian,8,5,8,100,Lunch,Yes
2023/04/18 9:31:49 PM GMT+5:30,Non-vegetarian,8,6,7,40,Dinner,Yes
2023/04/18 9:38:20 PM GMT+5:30,Vegetarian,8,5,10,100,Lunch,Yes
2023/04/18 9:44:42 PM GMT+5:30,Non-vegetarian,2,8,2,1500,Breakfast,No
2023/04/18 9:45:01 PM GMT+5:30,Non-vegetarian,8,8,8,40,Breakfast,No
2023/04/18 9:46:41 PM GMT+5:30,Vegetarian,6,7,3,20,Breakfast,No
2023/04/18 9:49:10 PM GMT+5:30,Vegetarian,10,7,5,30,Breakfast,No
2023/04/18 9:51:14 PM GMT+5:30,Non-vegetarian,0,10,2,1500,Breakfast,Yes
2023/04/18 9:51:24 PM GMT+5:30,Non-vegetarian,10,7,2,200,Breakfast,No
2023/04/18 9:53:50 PM GMT+5:30,Vegetarian,10,7,5,20,Breakfast,No
2023/04/18 10:49:17 PM GMT+5:30,Non-vegetarian,1,8,4,50,Breakfast,No
2023/04/19 7:12:09 AM GMT+5:30,Non-vegetarian,30,6,7,20,Breakfast,No
2023/04/19 7:17:13 PM GMT+5:30,Non-vegetarian,0,8,20,170,Dinner,Yes
2023/04/19 7:57:22 PM GMT+5:30,Vegetarian,8,7,6,100,Dinner,Yes
2023/04/20 12:43:32 AM GMT+5:30,Non-vegetarian,0,5,10,10,Lunch,No
2023/04/20 10:28:56 PM GMT+5:30,Vegetarian,12,8,1,50,Breakfast,Yes
2023/04/21 9:54:09 AM GMT+5:30,Vegetarian,5,7,20,800,Dinner,Yes
